"Nimi","Host","Port","Olek","Viivitus_ms","Kontrollitud","Kirjeldus"
"google","google.com","443","OK",,"2026-05-20 19:32:22","Avalik v�rgutest"
"github","github.com","443","OK",,"2026-05-20 19:32:22","Git push"
"oma-ruuter","192.168.0.1","80","OK",,"2026-05-20 19:32:32","Koduv�rgu gateway"
"olematu","ei-ole-olemas.invalid","443","FAIL",,"2026-05-20 19:32:32","Peab maas olema (test)"
"localhost-ssh","127.0.0.1","22","FAIL","0","2026-05-20 19:32:39","Lokaalne SSH"
